name;region;city;address
"Алтайский государственный аграрный университет
";Алтайский край;Барнаул;"656049, Алтайский край, г. Барнаул, проспект Красноармейский, д. 98"
"Алтайский государственный гуманитарно-педагогический университет имени В.М. Шукшина

/ Прежние наименования /


до 29.10.2015 г. - Алтайская государственная академия образования имени В.М. Шукшина
до 24.06.2010 - Бийский педагогический государственный университет имени В.М. Шукшина

";Алтайский край;Бийск;"659333, Алтайский край, г. Бийск, ул. Короленко, д. 53"
"Алтайский государственный институт культуры

/ Прежние наименования /


до 25.09.2014 г. - Алтайская государственная академия культуры и искусств
до 19.05.2005 г. - Алтайский государственный институт искусств и культуры

";Алтайский край;Барнаул;"656055, Алтайский край, г. Барнаул, ул. Юрина, д. 277"
"Алтайский государственный медицинский университет
";Алтайский край;Барнаул;"656038, Алтайский край, город Барнаул, проспект Ленина, д. 40"
"Алтайский государственный педагогический университет

/ Прежние наименования /


до 2009 г. - Барнаульский государственный педагогический университет
до 2014 г. - Алтайская государственная педагогическая академия

";Алтайский край;Барнаул;"656031, Алтайский край, г. Барнаул, ул. Молодежная, д. 55"
"Алтайский государственный технический университет им. И.И. Ползунова

/ Прежние наименования /


до 24.12.1992 - Алтайский политехнический институт им. И.И. Ползунова
до 04.05.1961 - Алтайский политехнический институт
до 20.05.1959 - Алтайский институт сельскохозяйственного машиностроения

";Алтайский край;Барнаул;"656038, Алтайский край, г. Барнаул, просп. Ленина, д. 46"
"Алтайский государственный университет
";Алтайский край;Барнаул;"656049, Алтайский край, г. Барнаул, пр. Ленина, д. 61"
"Алтайский институт труда и права (филиал) Академии труда и социальных отношений

/ Прежние наименования /


до 30.06.2004 - Алтайский филиал Академии труда и социальных отношений

";Алтайский край;Барнаул;"656002, Алтайский край, г. Барнаул, пр-д 9 Мая, 8"
"Алтайский институт финансового управления
";Алтайский край;Барнаул;"656049, г. Барнаул, пр. Социалистический, д. 87"
"Алтайский институт экономики - филиал Санкт-Петербургского университета управления и экономики

/ Прежние наименования /


до 2016 г. - Алтайский институт экономики - филиал Санкт-Петербургского университета управления и экономики
до 02.08.2005 - Алтайский филиал Института управления и экономики (г. Санкт-Петербург)

";Алтайский край;Барнаул;"656011, Алтайский край, г. Барнаул, пр-кт Ленина, д. 106е"
"Алтайский филиал Московского государственного института культуры
";Алтайский край;Барнаул;"656031, Алтайский край, г. Барнаул, Красноармейский просп., д. 111"
"Алтайский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации

/ Прежние наименования /


до 20.09.2010 - Алтайский филиал Сибирской академии государственной службы в г. Барнауле

";Алтайский край;Барнаул;"656008, г. Барнаул, ул. Партизанская, д. 187"
"Алтайский филиал Российской международной академии туризма
";Алтайский край;Барнаул;"656049, Алтайский край, г. Барнаул, ул. Папанинцев, д. 115"
"Алтайский экономико-юридический институт

/ Прежние наименования /


до 1995 г. - Экономико-правовой институт

";Алтайский край;Барнаул;"656015, Алтайский край, г. Барнаул, проспект Красноармейский, д. 108"
"Барнаульский филиал Московской академии предпринимательства при Правительстве Москвы

/ Прежние наименования /


до 09.04.2008 - Барнаульский филиал Московской академии предпринимательства при Правительстве г. Москвы

";Алтайский край;Барнаул;"656031, Алтайский край, г. Барнаул, ул. Н. Крупской, д.103а"
"Барнаульский филиал Современной гуманитарной академии
";Алтайский край;Барнаул;"656037, Алтайский край, г. Барнаул, пр-кт. Ленина, д. 154а"
"Барнаульский филиал Финансового университета при Правительстве Российской Федерации

/ Прежние наименования /


до 2012 г. - Всероссийский заочный финансово-экономический институт. Филиал в г. Барнауле.

";Алтайский край;Барнаул;"656038, Алтайский край г. Барнаул пр-т Ленина 54"
"Барнаульский юридический институт
";Алтайский край;Барнаул;"656038, Алтайский край, г. Барнаул, улица Чкалова, д. 49"
"Бийский филиал Современной гуманитарной академии
";Алтайский край;Бийск;"659305, Алтайский край, г. Бийск, переулок Липового, д. 66"
"Бийский филиал Университета ""Синергия""

/ Прежние наименования /


до 10.10.2012 - Бийский филиал Московской открытой социальной академии
до 18.06.2004 - Бийский филиал Московского открытого социального университета

";Алтайский край;Бийск;"659303, Алтайский край, г. Бийск, ул. Трофимова, д. 6"
"Институт национальной безопасности и управления рисками
";Алтайский край;Барнаул;"Алтайский край, г. Барнаул, ул. Максима Горького, д.20"
"Рубцовский индустриальный институт (филиал) Алтайского государственного технического университета им. И.И. Ползунова
";Алтайский край;Рубцовск;"658207, Алтайский край, г. Рубцовск, ул. Тракторная, д. 2/6"
"Рубцовский институт (филиал) Алтайского государственного университета

/ Прежние наименования /


до 15.01.2007 - Филиал Алтайского государственного университета в г. Рубцовске

";Алтайский край;Рубцовск;"658225, Алтайский край, г. Рубцовск, пр. Ленина, д. 200б"
"Рубцовский филиал Университета Российской академии образования
";Алтайский край;Рубцовск;"658225, Алтайский край, г. Рубцовск, просп. Ленина, д. 206/2"
